filename, language, Python, Batch, Markdown, pip requirements, Properties, Ignore, JavaScript, HTML, JSON, Vue, CSS, Database, comment, blank, total
DoPass.bat, Batch, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4
README.md, Markdown, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 95
Thumbs.db, Database, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1396, 0, 8, 1404
aps.py, Python, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 52
django_auth\settings.py, Python, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 155
django_auth\tests\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
django_auth\tests\tests_models.py, Python, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 11, 83
django_auth\urls.py, Python, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 108
django_auth\wsgi.py, Python, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
docs\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
docs\admin.py, Python, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
docs\migrations\0001_initial.py, Python, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
docs\migrations\0002_auto_20190607_2150.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
docs\migrations\0003_auto_20190608_0011.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
docs\migrations\0004_auto_20190608_0047.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
docs\migrations\0005_auto_20190609_0120.py, Python, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
docs\migrations\0006_doc_signature_end.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
docs\migrations\0007_auto_20190613_2334.py, Python, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
docs\migrations\0008_auto_20190614_0031.py, Python, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
docs\migrations\0009_auto_20190615_0056.py, Python, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
docs\migrations\0010_doc_signature_text.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
docs\migrations\0011_auto_20190615_1512.py, Python, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
docs\migrations\0012_block.py, Python, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
docs\migrations\0013_auto_20190616_1458.py, Python, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 32
docs\migrations\0014_auto_20190616_1610.py, Python, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
docs\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
docs\models.py, Python, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 53
docs\permissions.py, Python, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
docs\serializers.py, Python, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 75
docs\views.py, Python, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 44, 401
edc\EDC.py, Python, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
