Directory : c:\Users\Spanri\Desktop\CRM-diplom
Date : 2019-06-13 04:00:26
Total : 464 files,  70825 codes, 8798 comments, 11001 blanks, all 90624 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |        237 |     35,416 |      7,861 |      7,704 |     50,981 |
| CSS              |         82 |     15,749 |        415 |      2,803 |     18,967 |
| JSON             |          3 |     11,449 |          0 |          2 |     11,451 |
| Vue              |         18 |      3,084 |        328 |         57 |      3,469 |
| Python           |         41 |      1,775 |        190 |        319 |      2,284 |
| XML              |         53 |      1,670 |          0 |         42 |      1,712 |
| Database         |          1 |      1,396 |          0 |          8 |      1,404 |
| Markdown         |          5 |        135 |          0 |         48 |        183 |
| HTML             |         20 |         66 |          2 |         13 |         81 |
| pip requirements |          1 |         62 |          0 |          1 |         63 |
| Ignore           |          1 |         11 |          2 |          2 |         15 |
| Properties       |          1 |          8 |          0 |          2 |         10 |
| Batch            |          1 |          4 |          0 |          0 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        464 |     70,825 |      8,798 |     11,001 |     90,624 |
| staticfiles                                                                    |        366 |     51,312 |      8,146 |     10,457 |     69,915 |
| staticfiles\admin                                                              |        226 |     40,812 |      6,344 |      9,535 |     56,691 |
| staticfiles\admin\js                                                           |        152 |     30,294 |      6,088 |      7,034 |     43,416 |
| staticfiles\admin\js\vendor                                                    |        108 |     26,302 |      5,566 |      6,730 |     38,598 |
| frontend                                                                       |         53 |     16,209 |        462 |        188 |     16,859 |
| staticfiles\admin\js\vendor\jquery                                             |          4 |     13,380 |      3,452 |      3,904 |     20,736 |
| staticfiles\admin\css                                                          |         34 |     10,266 |        256 |      2,465 |     12,987 |
| staticfiles\rest_framework                                                     |         51 |     10,236 |      1,593 |        912 |     12,741 |
| staticfiles\admin\js\vendor\select2                                            |        100 |      9,816 |        748 |      2,642 |     13,206 |
| staticfiles\rest_framework\css                                                 |         19 |      4,700 |        131 |        180 |      5,011 |
| frontend\src                                                                   |         32 |      4,190 |        385 |        102 |      4,677 |
| staticfiles\admin\js\vendor\xregexp                                            |          4 |      3,106 |      1,366 |        184 |      4,656 |
| frontend\src\components                                                        |         17 |      2,995 |        322 |         53 |      3,370 |
| staticfiles\rest_framework\js                                                  |         16 |      2,806 |      1,388 |        486 |      4,680 |
| staticfiles\rest_framework\fonts                                               |          4 |      1,404 |          0 |          4 |      1,408 |
| staticfiles\rest_framework\docs                                                |         12 |      1,326 |         74 |        242 |      1,642 |
| frontend\src\components\docs                                                   |          3 |      1,056 |         37 |         12 |      1,105 |
| staticfiles\admin\js\admin                                                     |          4 |        960 |        164 |         88 |      1,212 |
| users                                                                          |         18 |        931 |         38 |        156 |      1,125 |
| staticfiles\admin\css\vendor                                                   |          6 |        890 |          0 |        128 |      1,018 |
| staticfiles\admin\css\vendor\select2                                           |          6 |        890 |          0 |        128 |      1,018 |
| frontend\src\store                                                             |          5 |        852 |         46 |         23 |        921 |
| staticfiles\rest_framework\docs\css                                            |          6 |        792 |         20 |        168 |        980 |
| frontend\src\components\profile                                                |          4 |        631 |        244 |         11 |        886 |
| staticfiles\rest_framework\docs\js                                             |          6 |        534 |         54 |         74 |        662 |
| docs                                                                           |         13 |        523 |         30 |         86 |        639 |
| frontend\src\components\addit                                                  |          3 |        448 |          6 |          7 |        461 |
| frontend\build                                                                 |          7 |        445 |         33 |         55 |        533 |
| django_auth                                                                    |          5 |        254 |        108 |         56 |        418 |
| staticfiles\admin\img                                                          |         40 |        252 |          0 |         36 |        288 |
| staticfiles\static                                                             |         67 |        215 |        209 |          0 |        424 |
| users\migrations                                                               |         13 |        201 |         12 |         74 |        287 |
| staticfiles\static\js                                                          |         43 |        191 |        201 |          0 |        392 |
| frontend\src\router                                                            |          1 |        152 |          7 |          8 |        167 |
| docs\migrations                                                                |          7 |         99 |          6 |         38 |        143 |
| staticfiles\admin\js\vendor\select2\i18n                                       |         94 |         94 |         94 |         94 |        282 |
| frontend\config                                                                |          3 |         39 |         25 |         19 |         83 |
| frontend\dist                                                                  |          5 |         39 |         13 |          1 |         53 |
| frontend\dist\static                                                           |          4 |         35 |         13 |          0 |         48 |
| frontend\dist\static\js                                                        |          3 |         34 |         13 |          0 |         47 |
| django_auth\tests                                                              |          2 |         30 |         42 |         12 |         84 |
| staticfiles\static\css                                                         |         24 |         24 |          8 |          0 |         32 |
| edc                                                                            |          2 |         15 |          4 |          6 |         25 |
| staticfiles\media                                                              |          3 |          8 |          0 |          1 |          9 |
| frontend\src\assets                                                            |          6 |          6 |          0 |          1 |          7 |
| staticfiles\registration                                                       |          1 |          5 |          0 |          3 |          8 |
| staticfiles\admin\img\gis                                                      |          4 |          4 |          0 |          0 |          4 |
| frontend\dist\static\css                                                       |          1 |          1 |          0 |          0 |          1 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                       | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| DoPass.bat                                                                     | Batch            |          4 |          0 |          0 |          4 |
| README.md                                                                      | Markdown         |         67 |          0 |         28 |         95 |
| Thumbs.db                                                                      | Database         |      1,396 |          0 |          8 |      1,404 |
| aps.py                                                                         | Python           |         33 |          9 |         10 |         52 |
| django_auth\settings.py                                                        | Python           |        145 |         47 |         27 |        219 |
| django_auth\tests\__init__.py                                                  | Python           |          0 |          0 |          1 |          1 |
| django_auth\tests\tests_models.py                                              | Python           |         30 |         42 |         11 |         83 |
| django_auth\urls.py                                                            | Python           |         75 |         11 |         12 |         98 |
| django_auth\wsgi.py                                                            | Python           |          4 |          8 |          5 |         17 |
| docs\__init__.py                                                               | Python           |          0 |          0 |          1 |          1 |
| docs\admin.py                                                                  | Python           |         12 |          0 |          4 |         16 |
| docs\migrations\0001_initial.py                                                | Python           |         29 |          1 |          7 |         37 |
| docs\migrations\0002_auto_20190607_2150.py                                     | Python           |         12 |          1 |          6 |         19 |
| docs\migrations\0003_auto_20190608_0011.py                                     | Python           |         12 |          1 |          6 |         19 |
| docs\migrations\0004_auto_20190608_0047.py                                     | Python           |         12 |          1 |          6 |         19 |
| docs\migrations\0005_auto_20190609_0120.py                                     | Python           |         22 |          1 |          6 |         29 |
| docs\migrations\0006_doc_signature_end.py                                      | Python           |         12 |          1 |          6 |         19 |
| docs\migrations\__init__.py                                                    | Python           |          0 |          0 |          1 |          1 |
| docs\models.py                                                                 | Python           |         32 |          0 |          5 |         37 |
| docs\permissions.py                                                            | Python           |         77 |          0 |          4 |         81 |
| docs\serializers.py                                                            | Python           |         45 |          1 |          6 |         52 |
| docs\views.py                                                                  | Python           |        258 |         23 |         28 |        309 |
| edc\EDC.py                                                                     | Python           |         15 |          4 |          5 |         24 |
| edc\init.py                                                                    | Python           |          0 |          0 |          1 |          1 |
| frontend\.editorconfig                                                         | Properties       |          8 |          0 |          2 |         10 |
| frontend\.gitignore                                                            | Ignore           |         11 |          2 |          2 |         15 |
| frontend\.postcssrc.js                                                         | JavaScript       |          7 |          2 |          2 |         11 |
| frontend\build\build.js                                                        | JavaScript       |         35 |          0 |          7 |         42 |
| frontend\build\check-versions.js                                               | JavaScript       |         45 |          0 |         10 |         55 |
| frontend\build\utils.js                                                        | JavaScript       |         80 |          5 |         17 |        102 |
| frontend\build\vue-loader.conf.js                                              | JavaScript       |         21 |          0 |          2 |         23 |
| frontend\build\webpack.base.conf.js                                            | JavaScript       |         74 |          4 |          5 |         83 |
| frontend\build\webpack.dev.conf.js                                             | JavaScript       |         82 |          7 |          7 |         96 |
| frontend\build\webpack.prod.conf.js                                            | JavaScript       |        108 |         17 |          7 |        132 |
| frontend\config\dev.env.js                                                     | JavaScript       |          6 |          0 |          2 |          8 |
| frontend\config\index.js                                                       | JavaScript       |         29 |         25 |         16 |         70 |
| frontend\config\prod.env.js                                                    | JavaScript       |          4 |          0 |          1 |          5 |
| frontend\dist\index.html                                                       | HTML             |          4 |          0 |          1 |          5 |
| frontend\dist\static\css\app.eb48a30719633cbdd109.css                          | CSS              |          1 |          0 |          0 |          1 |
| frontend\dist\static\js\0.ca778293f1ae79836774.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| frontend\dist\static\js\2.bfd211a2ab6a4828ed32.js                              | JavaScript       |         32 |         11 |          0 |         43 |
| frontend\dist\static\js\runtime.a2142094e45718454de0.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| frontend\index.html                                                            | HTML             |         22 |          2 |          3 |         27 |
| frontend\package-lock.json                                                     | JSON             |     11,369 |          0 |          1 |     11,370 |
| frontend\package.json                                                          | JSON             |         79 |          0 |          1 |         80 |
| frontend\src\App.vue                                                           | Vue              |         89 |          6 |          4 |         99 |
| frontend\src\assets\iconfinder_Cancel_1063907.svg                              | XML              |          1 |          0 |          0 |          1 |
| frontend\src\assets\iconfinder_arrow-right_227601.svg                          | XML              |          1 |          0 |          0 |          1 |
| frontend\src\assets\iconfinder_free-09_463017.svg                              | XML              |          1 |          0 |          0 |          1 |
| frontend\src\assets\iconfinder_icon-edit_2867890.svg                           | XML              |          1 |          0 |          0 |          1 |
| frontend\src\assets\iconfinder_icon-emotion-sad_2867892.svg                    | XML              |          1 |          0 |          0 |          1 |
| frontend\src\assets\logo.svg                                                   | XML              |          1 |          0 |          1 |          2 |
| frontend\src\components\Auth.vue                                               | Vue              |        294 |          5 |          5 |        304 |
| frontend\src\components\Footer.vue                                             | Vue              |         47 |          1 |          2 |         50 |
| frontend\src\components\Header.vue                                             | Vue              |        225 |         15 |          5 |        245 |
| frontend\src\components\Help.vue                                               | Vue              |         40 |          0 |          2 |         42 |
| frontend\src\components\Main.vue                                               | Vue              |         65 |          0 |          4 |         69 |
| frontend\src\components\Menu.vue                                               | Vue              |        169 |         14 |          3 |        186 |
| frontend\src\components\NotFound.vue                                           | Vue              |         20 |          0 |          2 |         22 |
| frontend\src\components\addit\Grid.vue                                         | Vue              |        350 |          6 |          4 |        360 |
| frontend\src\components\addit\MaxInput.vue                                     | Vue              |         28 |          0 |          1 |         29 |
| frontend\src\components\addit\Preview.vue                                      | Vue              |         70 |          0 |          2 |         72 |
| frontend\src\components\docs\AddDoc.vue                                        | Vue              |        294 |          8 |          3 |        305 |
| frontend\src\components\docs\Document.vue                                      | Vue              |        612 |         24 |          5 |        641 |
| frontend\src\components\docs\EditDocument.vue                                  | Vue              |        150 |          5 |          4 |        159 |
| frontend\src\components\profile\Adm.vue                                        | Vue              |        406 |         15 |          5 |        426 |
| frontend\src\components\profile\EditProfile.vue                                | Vue              |         50 |        225 |          0 |        275 |
| frontend\src\components\profile\HeaderProfile.vue                              | Vue              |         60 |          1 |          3 |         64 |
| frontend\src\components\profile\Profile.vue                                    | Vue              |        115 |          3 |          3 |        121 |
| frontend\src\main.js                                                           | JavaScript       |         19 |          3 |          4 |         26 |
| frontend\src\otherFun.js                                                       | JavaScript       |         77 |          1 |          9 |         87 |
| frontend\src\router\index.js                                                   | JavaScript       |        152 |          7 |          8 |        167 |
| frontend\src\store\auth.js                                                     | JavaScript       |         91 |          0 |          5 |         96 |
| frontend\src\store\doc.js                                                      | JavaScript       |        493 |         28 |          8 |        529 |
| frontend\src\store\index.js                                                    | JavaScript       |         17 |          0 |          2 |         19 |
| frontend\src\store\mutation-types.js                                           | JavaScript       |         44 |          2 |          3 |         49 |
| frontend\src\store\user.js                                                     | JavaScript       |        207 |         16 |          5 |        228 |
| manage.py                                                                      | Python           |         13 |          1 |          2 |         16 |
| requirements.txt                                                               | pip requirements |         62 |          0 |          1 |         63 |
| staticfiles\admin\css\autocomplete.781713f30664.css                            | CSS              |        213 |          0 |         48 |        261 |
| staticfiles\admin\css\autocomplete.css                                         | CSS              |        213 |          0 |         48 |        261 |
| staticfiles\admin\css\base.41c06691d585.css                                    | CSS              |        776 |         22 |        190 |        988 |
| staticfiles\admin\css\base.94893682937c.css                                    | CSS              |        776 |         22 |        190 |        988 |
| staticfiles\admin\css\base.ae33e6383baa.css                                    | CSS              |        776 |         22 |        190 |        988 |
| staticfiles\admin\css\base.css                                                 | CSS              |        776 |         22 |        190 |        988 |
| staticfiles\admin\css\changelists.css                                          | CSS              |        277 |          7 |         61 |        345 |
| staticfiles\admin\css\changelists.f6dc691f8d62.css                             | CSS              |        277 |          7 |         61 |        345 |
